rail,rail_work_order,localisation,mvt,designation,reference,id,work_order,point,path,position_type,speed,cnt,x_j1,y_j2,z_j3,w_j4,p_j5,r_j6,e1,wrist,forearm,arm,conf_j1,conf_j4,conf_j6,UF,UT
4,3,,approach,rail,E53233025200,4,3,5,JOINT,JOINT,75,25,-40.81,35.495,-26.15,38.71,94.42,15.11,1757.440,,,,,,,3,2
4,3,,approach,rail,E53233025200,4,3,6,JOINT,JOINT,75,25,-49.24,42.521,-11.14,55.08,58.72,-15.41,1757.440,,,,,,,3,2
4,3,,approach,rail,E53233025200,4,3,7,JOINT,JOINT,75,25,-67.31,49.808,-15.23,97.10,65.12,-33.88,1757.440,,,,,,,3,2
4,3,,approach,rail,E53233025200,4,3,8,LINEAR,JOINT,3000,0,-63.34,56.565,-17.47,95.06,61.10,-31.83,1757.440,,,,,,,3,2
4,3,,work,fastener,ASNA2392-3-04,150,1,9,LINEAR,CRT,100,0,178.70,1058.900,6.80,-90.00,-61.00,-180.00,1757.440,F,U,T,0,0,0,3,2
4,3,,work,fastener,ASNA2392-3-04,147,2,11,LINEAR,CRT,100,0,162.40,1058.900,27.30,-90.00,-61.00,-180.00,1757.440,F,U,T,0,0,0,3,2
4,3,,work,fastener,ASNA2392-3-04,149,3,12,LINEAR,CRT,100,0,156.70,1058.900,6.80,-90.00,-61.00,-180.00,1757.440,F,U,T,0,0,0,3,2
4,3,,work,fastener,ASNA2392-3-04,146,4,13,LINEAR,CRT,100,0,140.40,1058.900,27.30,-90.00,-61.00,-180.00,1757.440,F,U,T,0,0,0,3,2
4,3,,work,fastener,ASNA2392-3-04,148,5,14,LINEAR,CRT,100,0,134.70,1058.900,6.80,-90.00,-61.00,-180.00,1757.440,F,U,T,0,0,0,3,2
4,3,,work,fastener,ASNA2392-3-04,145,6,15,LINEAR,CRT,100,0,118.40,1058.900,27.30,-90.00,-61.00,-180.00,1757.440,F,U,T,0,0,0,3,2
4,3,,work,fastener,ASNA2392-3-04,144,7,16,LINEAR,CRT,100,0,112.70,1058.900,6.80,-90.00,-61.00,-180.00,1757.440,F,U,T,0,0,0,3,2
4,3,,work,fastener,ASNA2392-3-04,143,8,17,LINEAR,CRT,100,0,96.40,1059.246,27.30,90.00,-86.34,0.00,1757.440,F,U,T,0,0,0,3,2
